"site_id","lat","lon","start_date","end_date","author","location_hash"
"1955-01",26.143,-81.799,"2013-06-05","2015-02-10","edifes.jpm184","0555b57c1fcc691da142ad365c1521f2124ba11e"
"254-01",44.044,-88.535,"2012-08-07","2013-08-23","edifes.jpm184","d838125743a0d86e34f572a6ede475461d9b04ff"
"328-01",46.554,-87.422,"2014-04-22","2015-10-16","edifes.jpm184","d447fcaf79540c2b66400e095481240549f0aa95"
"403-01",33.998,-81.035,"2014-08-09","2015-12-31","edifes.jpm184","dd3973033801f91d4b8d0cfa8249bfc4b6be049f"
"4575-01",33.244,-85.845,"2013-11-21","2015-07-09","edifes.jpm184","2495af56a5b45b4b215d0d67f0025d8c37a8adb5"
"4978-01",37.011,-86.461,"2013-02-14","2014-04-21","edifes.jpm184","c473f15b6093504e22dbf737e0d9b820d281e93d"
"4980-01",33.994,-81.02,"2013-02-14","2014-04-21","edifes.jpm184","630154a3165862bca99f427db95a2b3a7137fded"
"4982-01",39.299,-94.936,"2013-05-03","2014-05-12","edifes.jpm184","a9baacd2d79d2fdfe984d103ee2ce26192fb7e57"
"4984-01",32.11,-93.786,"2013-04-09","2014-05-12","edifes.jpm184","d25130e729e3aebabe688987f56d393d1eb8faca"
"4985-01",32.373,-84.906,"2013-04-09","2014-05-12","edifes.jpm184","204f14564645344e8540c192ebf36ab946896d37"
"4987-01",39.452,-77.442,"2013-04-09","2014-05-12","edifes.jpm184","2fdf96507c5cd63ed0b7ff3074b1df5bd0bf66b9"
"4988-01",31.809,-106.431,"2013-02-14","2014-05-12","edifes.jpm184","bedbb8d08922122e26c09015fb06de45b911dec1"
"4992-01",31.541,-110.3,"2013-04-09","2014-05-12","edifes.jpm184","743ee444aaf71d5694493507e3bd92573fba2289"
"4996-01",36.753,-119.697,"2013-02-14","2014-04-21","edifes.jpm184","5cd7ffd21d8455f08658fcc5b64a9d5d7b31c746"
"case-olin",41.5043,-81.6084,"2014-01-01","2017-01-01","edifes.jpm184","c601be1981c32dc2460c649d32304d96f2ee8c3f"
